NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime
0	511598019	2133624280	38.000000	-34.400000	3.600000	-38.000000	13.400000	3.334516
0	511598019	1380145589	49.000000	-33.700000	15.300000	-49.000000	14.800000	5.561179
0	511598019	1619767775	40.000000	-37.000000	3.000000	-40.000000	14.700000	4.102232
0	190533092	801070934	47.000000	-63.300000	-16.300000	-47.000000	32.500000	11.742908
0	190533092	496424879	47.000000	-47.200000	-0.200000	-47.000000	25.800000	13.881672
0	190533092	1214754100	49.000000	-57.900000	-8.900000	-49.000000	29.200000	12.794287
0	190533092	1588422894	41.000000	-45.900000	-4.900000	-41.000000	25.200000	7.465597
0	190533092	2088984659	30.000000	-34.700000	-4.700000	-30.000000	19.400000	9.383052
0	190533092	432327278	40.000000	-50.600000	-10.600000	-40.000000	26.000000	6.437991
0	190533092	130186428	33.000000	-33.700000	-0.700000	-33.000000	23.500000	10.162964
0	190533092	1293864936	38.000000	-34.300000	3.700000	-38.000000	22.500000	9.735173
0	190533092	428768238	16.000000	-29.700000	-13.700000	-16.000000	16.700000	4.631147
0	190533092	2085809194	53.000000	-55.500000	-2.500000	-53.000000	31.800000	19.095614
0	190533092	1328722133	39.000000	-46.200000	-7.200000	-39.000000	25.600000	10.674985
0	190533092	763201495	56.000000	-52.100000	3.900000	-56.000000	26.900000	9.662941
0	190533092	845580457	48.000000	-50.800000	-2.800000	-48.000000	26.000000	8.527890
0	190533092	827005685	48.000000	-47.200000	0.800000	-48.000000	23.900000	4.733133
0	190533092	228884196	47.000000	-47.200000	-0.200000	-47.000000	24.700000	10.317700
0	190533092	115551974	48.000000	-63.400000	-15.400000	-48.000000	32.600000	7.129351
0	190533092	978564085	40.000000	-47.300000	-7.300000	-40.000000	24.400000	4.968384
0	190533092	496469543	36.000000	-38.200000	-2.200000	-36.000000	21.600000	4.812510
0	190533092	435632213	33.000000	-47.900000	-14.900000	-33.000000	26.300000	5.266364
0	190533092	1627246464	47.000000	-47.200000	-0.200000	-47.000000	28.400000	8.743441
0	190533092	175456105	34.000000	-34.000000	0.000000	-34.000000	18.500000	4.941981
0	190533092	1558078828	34.000000	-40.100000	-6.100000	-34.000000	20.800000	5.761913
0	190533092	2134477711	22.000000	-32.100000	-10.100000	-22.000000	17.300000	4.444250
0	190533092	2068363850	39.000000	-48.000000	-9.000000	-39.000000	29.400000	5.717162
0	190533092	412714103	47.000000	-54.200000	-7.200000	-47.000000	28.900000	7.773577
0	190533092	1212561075	52.000000	-62.100000	-10.100000	-52.000000	31.700000	6.952646
0	190533092	1167428584	18.000000	-29.400000	-11.400000	-18.000000	21.400000	2.620469
0	190533092	103704560	19.000000	-28.700000	-9.700000	-19.000000	17.300000	2.460355
0	190533092	284835979	24.000000	-30.900000	-6.900000	-24.000000	17.900000	2.495027
0	190533092	2007729189	60.000000	-65.200000	-5.200000	-60.000000	33.000000	9.492059
0	190533092	1662878301	47.000000	-54.800000	-7.800000	-47.000000	27.600000	7.757873
0	190533092	2133615556	45.000000	-33.000000	12.000000	-45.000000	18.600000	5.258814
0	190533092	1612589484	27.000000	-32.400000	-5.400000	-27.000000	21.900000	5.144353
0	190533092	921776897	37.000000	-36.000000	1.000000	-37.000000	23.100000	5.070975
0	190533092	1422558442	18.000000	-31.300000	-13.300000	-18.000000	16.800000	2.276349
0	190533092	2066890325	39.000000	-47.900000	-8.900000	-39.000000	25.100000	4.887068
0	190533092	1094765277	28.000000	-27.100000	0.900000	-28.000000	15.700000	2.472033
