NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	NumFurgos	ExecutionTime	NodesExpanded
0	2032649747	1114191019	73,000000	-51,100000	21,900000	-50021,900000	49,700000	25	6510,282600	50001
0	2032649747	1443671475	67,000000	-20,400000	46,600000	-50046,600000	14,900000	5	3099,253400	50001
0	2032649747	1443671475	94,000000	-36,000000	58,000000	-50058,000000	29,600000	10	4937,323900	50001
0	2032649747	1443671475	99,000000	-49,100000	49,900000	-50049,900000	34,700000	15	6406,782000	50001
0	2032649747	1443671475	90,000000	-52,400000	37,600000	-50037,600000	42,900000	20	6784,744300	50001
0	2032649747	1443671475	76,000000	-52,100000	23,900000	-50023,900000	70,500000	25	7370,676800	50001
0	2032649747	395902373	68,000000	-18,800000	49,200000	-50049,200000	14,200000	5	3052,509100	50001
0	2032649747	395902373	91,000000	-32,700000	58,300000	-50058,300000	28,200000	10	4802,308600	50001
0	2032649747	395902373	87,000000	-39,600000	47,400000	-50047,400000	32,900000	15	6081,899600	50001
0	2032649747	395902373	91,000000	-55,800000	35,200000	-50035,200000	46,400000	20	6925,039600	50001
0	2032649747	395902373	80,000000	-50,000000	30,000000	-50030,000000	63,400000	25	7365,088400	50001
0	2032649747	640793416	64,000000	-14,800000	49,200000	-50049,200000	11,400000	5	3213,933400	50001
0	2032649747	640793416	86,000000	-33,900000	52,100000	-50052,100000	26,400000	10	4815,285500	50001
0	2032649747	640793416	97,000000	-41,200000	55,800000	-50055,800000	37,400000	15	6317,062500	50001
0	2032649747	640793416	81,000000	-43,500000	37,500000	-50037,500000	35,800000	20	6470,989900	50001
0	2032649747	640793416	101,000000	-69,400000	31,600000	-50031,600000	62,800000	25	9859,724700	50001
0	1430329009	166220014	83,000000	-20,600000	62,400000	-50062,400000	10,300000	5	3702,202200	50001
0	1430329009	166220014	112,000000	-30,500000	81,500000	-50081,500000	20,700000	10	5903,119800	50001
0	1430329009	166220014	117,000000	-40,700000	76,300000	-50076,300000	29,900000	15	6793,113600	50001
0	1430329009	166220014	104,000000	-56,400000	47,600000	-50047,600000	44,500000	20	7377,619300	50001
0	1430329009	166220014	97,000000	-54,300000	42,700000	-50042,700000	66,100000	25	7289,602000	50001
0	1430329009	574502750	83,000000	-22,000000	61,000000	-50061,000000	10,400000	5	3721,869300	50001
0	1430329009	574502750	124,000000	-37,300000	86,700000	-50086,700000	22,100000	10	5907,515300	50001
0	1430329009	574502750	124,000000	-47,200000	76,800000	-50076,800000	30,600000	15	7060,221800	50001
0	1430329009	574502750	78,000000	-51,900000	26,100000	-50026,100000	38,000000	20	7136,127700	50001
0	1430329009	574502750	86,000000	-54,100000	31,900000	-50031,900000	60,500000	25	7953,296200	50001
0	1430329009	2128091632	71,000000	-14,900000	56,100000	-50056,100000	8,500000	5	3674,850700	50001
0	1430329009	2128091632	133,000000	-42,600000	90,400000	-50090,400000	24,000000	10	6074,511400	50001
0	1430329009	2128091632	113,000000	-44,100000	68,900000	-50068,900000	33,700000	15	6588,658100	50001
0	1430329009	2128091632	93,000000	-49,900000	43,100000	-50043,100000	41,200000	20	7347,876000	50001
0	1430329009	2128091632	105,000000	-62,700000	42,300000	-50042,300000	74,900000	25	8394,336500	50001
0	1430329009	1038804186	74,000000	-13,300000	60,700000	-50060,700000	6,900000	5	3588,592100	50001
0	1430329009	1038804186	122,000000	-35,000000	87,000000	-50087,000000	21,600000	10	5824,942600	50001
0	1430329009	1038804186	102,000000	-34,700000	67,300000	-50067,300000	28,400000	15	6822,404900	50001
0	1430329009	1038804186	83,000000	-44,000000	39,000000	-50039,000000	39,400000	20	6834,940400	50001
0	1430329009	1038804186	98,000000	-62,800000	35,200000	-50035,200000	61,100000	25	8483,638000	50001
0	1430329009	718690747	72,000000	-12,100000	59,900000	-50059,900000	6,900000	5	3682,091000	50001
0	1430329009	718690747	127,000000	-38,100000	88,900000	-50088,900000	23,300000	10	5767,077400	50001
